15:54:50:848 [ALWAYS]	GUDE Logging Started
15:54:50:849 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:54:50:849 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:54:50:849 [ERROR]	Initialize resume cache pointer failure
15:54:50:849 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
15:54:50:849 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
15:54:54:513 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
15:54:54:513 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:54:54:513 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:54:54:513 [ERROR]	Initialize resume cache pointer failure
15:54:54:513 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
15:54:54:514 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
