14:19:47:830 [ALWAYS]	GUDE Logging Started
14:19:47:831 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:19:47:831 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:19:47:831 [ERROR]	Initialize resume cache pointer failure
14:19:47:831 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:19:47:831 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:19:50:175 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:19:50:175 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:19:50:175 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:19:50:175 [ERROR]	Initialize resume cache pointer failure
14:19:50:175 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:19:50:175 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
